Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
Comunidad de Arauzo de Miel y Huerta del Rey (nan),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Comunidad de Barbadillo de Herreros y Vallejimeno (E.L.M.) (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Comunidad de Barbadillo del Pez y Jaramillo de la Fuente (nan),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Comunidad de Barbadillo del Pez y Riocavado de la Sierra (nan),Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo,Muy alto
Comunidad de Barbarín y Olejúa (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Comunidad de Bascuñana y Viloria de Rioja (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Comunidad de Campoo y Cabuérniga (nan),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Alto,Muy alto
Comunidad de Canicosa de la Sierra y Casarejos (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Comunidad de Canicosa de la Sierra y Vilviestre del Pinar (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Comunidad de Castrotierra de la Valduerna (nan),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Alto,Alto
Comunidad de Cilleruelo de Arriba y Pineda Trasmonte (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
"Comunidad de Covarrubias, Quintanilla del Coco y Retuerta (nan)",Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Comunidad de Cubillo del Campo y Hontoria de la Cantera (nan),Muy alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Comunidad de El Pont de Bar y Cava (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Comunidad de Fuente Carazo (nan),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Comunidad de Gete y Hacinas (nan),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Comunidad de Los Ausines y Revilla del Campo (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
"Comunidad de Merindad de Río Ubierna, Quintanilla Vivar y Sotragero (nan)",Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
"Comunidad de Palacios de la Sierra, Vilviestre del Pinar y San Leonardo de Yagüe (nan)",Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Comunidad de Quintanaortuño y Merindad de Río Ubierna (nan),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Comunidad de Quintanar de la Sierra y Vilviestre del Pinar (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Comunidad de Quintanilla del Agua y Tordueles y Puentedura (nan),Alto,Moderado,Alto,Muy alto,Alto,Muy alto,Muy alto
Comunidad de Revilla del Campo y Torrelara (nan),Muy alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Comunidad de Sepúlveda y Riaza (nan),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Comunidad de Soto de la Vega y Villazala (nan),Muy bajo,Bajo,Bajo,Moderado,Muy alto,Alto,Alto
Comunidad de Tardajos y Las Quintanillas (nan),Moderado,Muy alto,Moderado,Alto,Extremo,Muy alto,Muy alto
Comunidad de Tardajos y Rabé de las Calzadas (nan),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Muy alto
Comunidad de Tinieblas de la Sierra y San Millán de Lara (nan),Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Comunidad de Villagalijo y San Vicente del Valle (nan),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Comunidad de Villoruebo y Torrelara (nan),Muy alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Comunidad de Vilviestre del Pinar y Palacios de la Sierra (nan),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Comunidad de Vizcaínos y Jaramillo de la Fuente (nan),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Comunidad de la Aynosa (nan),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Comunidad de la Pardina del Mercadal (nan),Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Comunidad de la Sierra Brava de Badaya (nan),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Comunidad del Valle de Salazar (nan),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Conca de Dalt (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Condado de Castilnovo (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Condado de Treviño (Burgos),Moderado,Alto,Alto,Muy alto,Extremo,Extremo,Extremo
Condemios de Abajo (Guadalajara),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Condemios de Arriba (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto
Conesa (Tarragona),Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Confrides (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Moderado,Moderado
Congosto (León),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Congosto de Valdavia (Palencia),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Congostrina (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Conil de la Frontera (Cádiz),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Conquista (Córdoba),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Conquista de la Sierra (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Consell (Baleares),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Constantina (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Constantí (Tarragona),Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Constanzana (Ávila),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Consuegra (Toledo),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Contamina (Zaragoza),Extremo,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Contreras (Burgos),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Coomonte (Zamora),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Copernal (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Copons (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Corbalán (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Corbera (Valencia),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Corbera d'Ebre (Tarragona),Moderado,Muy alto,Alto,Muy alto,Muy alto,Alto,Muy alto
Corbera de Llobregat (Barcelona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Corbillos de los Oteros (León),Muy bajo,Bajo,Moderado,Alto,Muy alto,Muy alto,Muy alto
Corbins (Lleida),Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto
Corcos (Valladolid),Moderado,Moderado,Moderado,Alto,Alto,Muy alto,Alto
Corcubión (A Coruña),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Cordobilla de Lácara (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cordovilla (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Moderado,Extremo,Muy alto
Cordovilla la Real (Palencia),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Cordovín (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Corduente (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Corella (Navarra),Muy alto,Alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Corera (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Coreses (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Extremo,Muy alto
Coria (Cáceres),Alto,Alto,Alto,Muy alto,Alto,Extremo,Extremo
Coria del Río (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Muy alto
Coripe (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Coristanco (A Coruña),Muy bajo,Bajo,Moderado,Alto,Muy alto,Alto,Muy alto
Cornago (La Rioja),Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cornellà de Llobregat (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Cornellà del Terri (Girona),Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Cornudella de Montsant (Tarragona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Alto,Extremo
Corpa (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Corporales (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Corral de Almaguer (Toledo),Alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Corral de Ayllón (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Corral de Calatrava (Ciudad Real),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Corral-Rubio (Albacete),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Corrales de Duero (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Corrales del Vino (Zamora),Alto,Moderado,Alto,Muy alto,Alto,Extremo,Muy alto
Corte de Peleas (Badajoz),Moderado,Muy alto,Alto,Moderado,Moderado,Alto,Extremo
Corteconcepción (Huelva),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cortegada (Ourense),Bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Cortegana (Huelva),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Extremo
Cortelazor (Huelva),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cortes (Navarra),Moderado,Moderado,Moderado,Moderado,Extremo,Alto,Extremo
Cortes de Aragón (Teruel),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cortes de Arenoso (Castellón),Extremo,Extremo,Muy alto,Muy alto,Muy alto,Moderado,Muy alto
Cortes de Baza (Granada),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Cortes de Pallás (Valencia),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Cortes de la Frontera (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cortes y Graena (Granada),Extremo,Moderado,Muy alto,Alto,Muy alto,Muy alto,Extremo
Corullón (León),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Coruña del Conde (Burgos),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Corvera de Asturias (Asturias),Muy bajo,Bajo,Moderado,Muy alto,Extremo,Extremo,Muy alto
Corvera de Toranzo (Cantabria),Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto
Corçà (Girona),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cosa (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Coscurita (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Coslada (Madrid),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Cospeito (Lugo),Muy bajo,Bajo,Bajo,Alto,Muy alto,Moderado,Alto
Costitx (Baleares),Alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo
Costur (Castellón),Muy alto,Alto,Alto,Alto,Alto,Moderado,Alto
Cosuenda (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Cotanes del Monte (Zamora),Muy alto,Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto
Cotes (Valencia),Muy alto,Moderado,Moderado,Bajo,Bajo,Moderado,Moderado
Cotillas (Albacete),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Coto Mancomunado (nan),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Covaleda (Soria),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Covarrubias (Burgos),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Covelo (Pontevedra),Bajo,Bajo,Moderado,Bajo,Moderado,Alto,Alto
Cox (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Cozuelos de Fuentidueña (Segovia),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Coín (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Crecente (Pontevedra),Bajo,Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto
Creixell (Tarragona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Crespià (Girona),Alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Crespos (Ávila),Alto,Muy alto,Muy alto,Alto,Muy alto,Extremo,Extremo
Cretas (Teruel),Alto,Muy alto,Alto,Muy alto,Alto,Alto,Muy alto
Crevillent (Alicante),Extremo,Muy bajo,Muy bajo,Alto,Moderado,Moderado,Alto
Cristina (Badajoz),Alto,Muy alto,Muy alto,Alto,Moderado,Muy alto,Extremo
Cristóbal (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Crivillén (Teruel),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
"Cruïlles, Monells i Sant Sadurní de l'Heura (Girona)",Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Crémenes (León),Bajo,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Cuacos de Yuste (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Cuadros (León),Bajo,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Cualedro (Ourense),Bajo,Moderado,Moderado,Alto,Extremo,Muy alto,Muy alto
Cuarte de Huerva (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Cuarto del Madroño (nan),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Cubas de la Sagra (Madrid),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Cubel (Zaragoza),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Cubelles (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Cubells (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo
Cubilla (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Cubillas de Cerrato (Palencia),Moderado,Moderado,Alto,Muy alto,Alto,Muy alto,Muy alto
Cubillas de Rueda (León),Bajo,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Cubillas de Santa Marta (Valladolid),Moderado,Moderado,Moderado,Muy alto,Alto,Muy alto,Alto
Cubillas de los Oteros (León),Muy bajo,Bajo,Bajo,Moderado,Muy alto,Moderado,Moderado
Cubillo (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Cubillo del Campo (Burgos),Alto,Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto
Cubillos (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Cubillos del Sil (León),Muy bajo,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Cubla (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Cubo de Benavente (Zamora),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Cubo de Bureba (Burgos),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Cubo de la Solana (Soria),Muy alto,Extremo,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Cucalón (Teruel),Muy alto,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Cudillero (Asturias),Muy bajo,Muy bajo,Bajo,Muy alto,Extremo,Extremo,Extremo
Cuelgamures (Zamora),Moderado,Moderado,Alto,Muy alto,Alto,Extremo,Muy alto
Cuenca (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Cuenca de Campos (Valladolid),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Cuerva (Toledo),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Cueva de Ágreda (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Cueva del Hierro (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Cuevas Bajas (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Cuevas Labradas (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Cuevas de Almudén (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Cuevas de Provanco (Segovia),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
Cuevas de San Clemente (Burgos),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Cuevas de San Marcos (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Cuevas del Almanzora (Almería),Moderado,Moderado,Bajo,Moderado,Moderado,Moderado,Moderado
Cuevas del Becerro (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Extremo
Cuevas del Campo (Granada),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Cuevas del Valle (Ávila),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Culla (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Cullera (Valencia),Moderado,Bajo,Bajo,Bajo,Bajo,Moderado,Moderado
Culleredo (A Coruña),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy alto,Muy alto,Extremo
Cumbres Mayores (Huelva),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cumbres de Enmedio (Huelva),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cumbres de San Bartolomé (Huelva),Moderado,Alto,Alto,Alto,Alto,Muy alto,Extremo
Cunit (Tarragona),Muy bajo,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy bajo
Cuntis (Pontevedra),Bajo,Moderado,Bajo,Bajo,Moderado,Alto,Alto
Curiel de Duero (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Curtis (A Coruña),Muy bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Cuzcurrita de Río Tirón (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Cuéllar (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Càlig (Castellón),Alto,Alto,Alto,Muy alto,Extremo,Alto,Muy alto
Cànoves i Samalús (Barcelona),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Càrcer (Valencia),Muy alto,Moderado,Moderado,Bajo,Bajo,Moderado,Moderado
Cáceres (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Cádiar (Granada),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Cádiz (Cádiz),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Cájar (Granada),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Cárcar (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Cárcheles (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Cárdenas (La Rioja),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Cármenes (León),Bajo,Bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto
Cártama (Málaga),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Cáseda (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Cástaras (Granada),Extremo,Extremo,Muy alto,Muy alto,Alto,Muy alto,Extremo
Cáñar (Granada),Muy alto,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Cóbdar (Almería),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Extremo
Cómpeta (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Córdoba (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Cózar (Ciudad Real),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Cúllar (Granada),Moderado,Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo
Cúllar Vega (Granada),Extremo,Muy bajo,Extremo,Muy alto,Extremo,Extremo,Extremo
Cútar (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo
Daganzo de Arriba (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Daimiel (Ciudad Real),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Daimús (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Dalías (Almería),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Darnius (Girona),Moderado,Moderado,Alto,Muy alto,Extremo,Muy alto,Extremo
Daroca (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Daroca de Rioja (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Darro (Granada),Extremo,Muy alto,Extremo,Alto,Extremo,Extremo,Extremo
Das (Girona),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto
Daya Nueva (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Daya Vieja (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Deba (Guipúzcoa),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Degaña (Asturias),Muy bajo,Bajo,Bajo,Moderado,Moderado,Muy alto,Muy alto
Dehesa de Montejo (Palencia),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Dehesa de Romanos (Palencia),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Dehesa de San Felices (nan),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Dehesa de Santiago (nan),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Dehesas Viejas (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Dehesas de Guadix (Granada),Muy alto,Moderado,Muy alto,Alto,Extremo,Muy alto,Extremo
Deifontes (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Deià (Baleares),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Extremo
Deleitosa (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Deltebre (Tarragona),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Muy alto
Derio (Vizcaya),Muy alto,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Descargamaría (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Desojo (Navarra),Moderado,Moderado,Moderado,Moderado,Muy alto,Alto,Muy alto
Destriana (León),Muy bajo,Bajo,Moderado,Moderado,Muy alto,Alto,Alto
Deza (Soria),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Muy alto
Dicastillo (Navarra),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Diego del Carpio (Ávila),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Diezma (Granada),Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Dima (Vizcaya),Alto,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Dios le Guarde (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Dodro (A Coruña),Bajo,Moderado,Moderado,Bajo,Moderado,Alto,Alto
Dolores (Alicante),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Domeño (Valencia),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Domingo García (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Domingo Pérez (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Domingo Pérez de Granada (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Don Benito (Badajoz),Moderado,Muy alto,Muy alto,Moderado,Moderado,Muy alto,Extremo
Don Álvaro (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Extremo
Donamaria (Navarra),Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Doneztebe/Santesteban (Navarra),Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Donhierro (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Donjimeno (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Donostia/San Sebastián (Guipúzcoa),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Donvidas (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Dos Aguas (Valencia),Alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Dos Hermanas (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Muy alto
Dos Torres (Córdoba),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Extremo
Dosbarrios (Toledo),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
